2025-12-03 12:49:59,ATM=25950,CallOI=648385,PutOI=545716,TotalOI=1194101,Diff=-102669,PCR=0.842,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:51:04,ATM=25950,CallOI=648385,PutOI=545716,TotalOI=1194101,Diff=-102669,PCR=0.842,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:52:00,ATM=25950,CallOI=654251,PutOI=549609,TotalOI=1203860,Diff=-104642,PCR=0.840,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:53:04,ATM=25950,CallOI=654251,PutOI=549609,TotalOI=1203860,Diff=-104642,PCR=0.840,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:54:01,ATM=25950,CallOI=654251,PutOI=549609,TotalOI=1203860,Diff=-104642,PCR=0.840,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:55:06,ATM=25950,CallOI=657377,PutOI=552812,TotalOI=1210189,Diff=-104565,PCR=0.841,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:56:02,ATM=25950,CallOI=657377,PutOI=552812,TotalOI=1210189,Diff=-104565,PCR=0.841,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:57:07,ATM=25950,CallOI=657377,PutOI=552812,TotalOI=1210189,Diff=-104565,PCR=0.841,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:58:04,ATM=25950,CallOI=657377,PutOI=552812,TotalOI=1210189,Diff=-104565,PCR=0.841,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:59:09,ATM=25950,CallOI=657377,PutOI=552812,TotalOI=1210189,Diff=-104565,PCR=0.841,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:00:05,ATM=25950,CallOI=664276,PutOI=542504,TotalOI=1206780,Diff=-121772,PCR=0.817,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:01:10,ATM=25950,CallOI=664276,PutOI=542504,TotalOI=1206780,Diff=-121772,PCR=0.817,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:02:07,ATM=25950,CallOI=664355,PutOI=544827,TotalOI=1209182,Diff=-119528,PCR=0.820,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:03:12,ATM=25950,CallOI=664355,PutOI=544827,TotalOI=1209182,Diff=-119528,PCR=0.820,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:04:08,ATM=25950,CallOI=664355,PutOI=544827,TotalOI=1209182,Diff=-119528,PCR=0.820,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:05:13,ATM=25950,CallOI=664723,PutOI=542033,TotalOI=1206756,Diff=-122690,PCR=0.815,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:06:10,ATM=25950,CallOI=665506,PutOI=541066,TotalOI=1206572,Diff=-124440,PCR=0.813,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:07:15,ATM=25950,CallOI=665421,PutOI=543052,TotalOI=1208473,Diff=-122369,PCR=0.816,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:08:11,ATM=25950,CallOI=665421,PutOI=543052,TotalOI=1208473,Diff=-122369,PCR=0.816,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:09:16,ATM=25950,CallOI=665421,PutOI=543052,TotalOI=1208473,Diff=-122369,PCR=0.816,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:10:13,ATM=25950,CallOI=665421,PutOI=543052,TotalOI=1208473,Diff=-122369,PCR=0.816,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:11:18,ATM=25950,CallOI=665421,PutOI=543052,TotalOI=1208473,Diff=-122369,PCR=0.816,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:12:14,ATM=25950,CallOI=663067,PutOI=547940,TotalOI=1211007,Diff=-115127,PCR=0.826,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:13:19,ATM=25950,CallOI=656281,PutOI=554473,TotalOI=1210754,Diff=-101808,PCR=0.845,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 13:14:16,ATM=25950,CallOI=656281,PutOI=554473,TotalOI=1210754,Diff=-101808,PCR=0.845,Sentiment=Neutral,ML=None,ML_prob=0.000
