date,open,high,low,close,volume,vwap
2025-09-19 00:00:00+05:30,458.0000,458.5000,452.1500,455.6000,10444975.0000,455.3700
2025-09-22 00:00:00+05:30,455.0000,462.6000,454.6500,458.4500,6873708.0000,459.3100
2025-09-23 00:00:00+05:30,458.4500,459.9000,452.2500,457.2000,6504267.0000,455.3400
2025-09-24 00:00:00+05:30,456.9500,459.0000,447.0000,448.4500,8390096.0000,453.0500
2025-09-25 00:00:00+05:30,451.0000,464.0000,449.5000,461.6500,12571562.0000,459.6500
2025-09-26 00:00:00+05:30,462.2500,463.8000,445.1000,447.9500,10271939.0000,452.5400
2025-09-29 00:00:00+05:30,451.0000,457.5500,447.6500,452.2500,11707970.0000,454.0500
2025-09-30 00:00:00+05:30,457.4000,468.2000,454.0000,465.8000,16517105.0000,463.3300
2025-10-01 00:00:00+05:30,468.5500,469.8500,458.5000,464.8500,7779725.0000,463.3400
2025-10-03 00:00:00+05:30,464.8500,479.9000,464.5000,470.9500,21404838.0000,473.7000
